Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
66.5,-166.68,24.29,22.227,9.9258,0,0.11307,0,0,0
66.5,-166.7,25.192,18.87,6.3636,0,0.095995,0,0,0
66.5,-166.72,26.02,11.916,1.4596,0,0.03467,0,0,0
66.5,-166.74,26.735,9.9598,3.3817,0,0,0,0,0
66.5,-166.76,27.418,9.3743,0.75665,0,0,0,0,0
66.5,-166.78,28.029,19.356,2.0536,0,0,0,0,0
66.5,-166.8,28.696,25.023,1.2673,0,0,0,0,0
66.5,-166.82,29.197,7.7289,0.59345,0,0,0,0,0
66.5,-166.84,29.687,26.16,1.1258,0,0,0,0,0
66.5,-166.86,30.059,6.0357,2.1497,0,0,0,0,0
66.5,-166.89,30.424,7.4206,15.343,0,0,0,0,0
66.5,-166.91,30.767,6.4856,9.975,0,0,0,0,0
66.5,-166.93,30.783,7.6158,2.521,0,0,0,0,0
66.5,-166.95,30.62,5.1229,5.1763,0,0,0,0,0
66.5,-166.97,30.491,10.291,1.9362,0,0,0,0,0
66.5,-166.99,30.453,11.991,0.70433,0,0,0,0,0
66.5,-167.01,30.308,19.213,1.4598,0,0,0,0,0
66.5,-167.03,30.252,12.748,0.72559,0,0,0,0,0
66.5,-167.05,30.17,5.309,5.4031,0,0,0,0,0
66.5,-167.07,30.048,21.165,3.3681,0,0,0,0,0
66.5,-167.09,29.905,10.446,7.7048,0,0,0,0,0
66.5,-167.11,29.676,15.602,1.2413,0,0,0,0,0
66.5,-167.13,29.3,19.253,5.1502,0,0,0,0,0
66.5,-167.15,29.007,9.245,7.2206,0,0,0,0,0
66.5,-167.18,28.897,12.266,4.8388,0,0,0,0,0
66.5,-167.2,28.866,24.758,3.1189,0,0,0,0,0
66.5,-167.22,28.831,12.231,3.5962,0,0,0,0,0
66.5,-167.24,28.949,35.213,33.492,0,0,0,0,0
66.447,-167.24,27.245,13.607,16.376,0,0,0,0,0
66.455,-167.24,27.57,4.7926,18.774,0,0,0,0,0
66.463,-167.24,27.617,22.45,28.727,0,0,0,0,0
66.472,-167.24,27.692,17.9,19.791,0,0,0,0,0
66.48,-167.25,27.967,7.2588,9.723,0,0,0,0,0
66.488,-167.25,28.304,10.063,15.874,0,0,0,0,0
66.496,-167.26,28.718,7.3886,7.0605,0,0,0,0,0
66.5,-167.27,28.954,18.718,3.5997,0,0,0,0,0
66.5,-167.29,28.977,9.5501,2.707,0,0,0,0,0
66.5,-167.31,28.918,11.055,1.8822,0,0,0,0,0
66.5,-167.33,28.965,7.2346,4.2818,0,0,0,0,0
66.5,-167.35,28.876,6.2266,7.91,0,0,0,0,0
66.501,-167.37,28.756,5.7796,15.288,0,0,0,0,0
66.501,-167.39,28.668,10.741,19.159,0,0,0,0,0
66.501,-167.42,28.534,8.7285,12.365,0,0,0,0,0
66.501,-167.44,28.267,5.2525,9.1849,0,0,0,0,0
66.501,-167.46,28.027,5.211,20.84,0,0,0,0,0
66.501,-167.48,27.873,12.782,156.98,0,0,0,0,0
66.501,-167.5,27.509,24.281,36.283,0,0,0,0,0
66.501,-167.52,27.255,18.282,9.2323,0,0,0,0,0
66.501,-167.54,27.022,6.167,2.2713,0,0,0,0,0
66.501,-167.56,26.728,19.427,0.95296,0,0,0,0,0
66.501,-167.58,26.451,13.353,0.083593,0,0,0,0,0
66.501,-167.6,26.19,9.149,0.23447,0,0,0,0,0
66.501,-167.62,26.005,12.737,0.52552,0,0,0,0,0
66.501,-167.64,25.782,22.341,1.9565,0,0,0,0,0
66.501,-167.66,25.531,24.947,0.46572,0,0,0,0,0
66.501,-167.68,25.32,7.3193,1.8295,0,0,0,0,0
66.501,-167.71,25.157,15.156,22.002,0,0,0,0,0
66.501,-167.73,24.934,6.7833,11.536,0,0,0,0,0
66.501,-167.75,24.689,29.795,59.864,0,0,0,0,0
66.501,-167.77,24.565,15.87,16.671,0,0,0,0,0
66.501,-167.79,24.413,20.168,0.47032,0,0,0,0,0
66.501,-167.81,24.213,12.904,0.11609,0,0,0,0,0
66.501,-167.83,24.197,20.108,0.8205,0,0,0,0,0
66.501,-167.85,24.024,4.4656,0.38953,0,0,0,0,0
66.487,-167.88,23.484,7.7678,1.4921,0,0,0,0,0
66.495,-167.88,23.742,10.972,1.8894,0,0,0,0,0
66.498,-167.87,23.864,4.2602,2.0144,0,0,0,0,0
66.498,-167.88,23.758,2.9635,1.784,0,0,0,0,0
66.499,-167.9,23.685,9.5116,0.92555,0,0,0,0,0
66.5,-167.92,23.61,9.146,1.6956,0,0,0,0,0
66.501,-167.94,23.608,5.1937,0.69756,0,0,0,0,0
66.501,-167.96,23.651,5.6051,7.9563,0,0,0,0,0
66.501,-167.98,23.671,2.4724,2.4328,0,0,0,0,0
66.501,-168,23.988,63.14,0.2357,0,0,0,0,0
66.501,-168.02,24.425,2.4444,0.36798,0,0,0,0,0
66.501,-168.04,24.896,3.4493,0.70415,0,0,0,0,0
66.501,-168.06,25.62,3.5386,4.9348,0,0,0,0,0
66.501,-168.09,26.378,5.009,0.64018,0,0,0,0,0
66.501,-168.11,27.325,7.5716,4.7528,0,0,0,0,0
66.501,-168.13,28.251,5.4376,1.7298,0,0,0,0,0
66.501,-168.15,29.25,4.8039,2.7284,0,0,0,0,0
66.501,-168.17,30.236,5.4469,2.3679,0,0,0,0,0
66.501,-168.19,31.305,3.9508,0.62627,0,0,0,0,0
66.501,-168.21,32.709,1.6678,0.3981,0,0,0,0,0
66.501,-168.23,34.629,2.4391,0.19235,0,0,0,0,0
66.501,-168.25,36.86,3.5301,0.09938,0,0,0,0,0
66.501,-168.27,38.824,8.7648,0.056959,0,0,0,0,0
66.501,-168.29,40.478,8.301,0.075288,0,0,0,0,0
66.501,-168.31,42.228,5.5515,0.28595,0,0,0,0,0
66.501,-168.33,43.681,8.4302,0.28016,0,0,0,0,0
