,profile_id,latitude,longitude,time,TrackRadius,Year,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Unnamed: 0,MAST_Station,Station,Gear,Depth.bot,Water.surf,Water.bot,meanSa,meanAcod,meanPol,meanCap
84,os1901l2c073_ctd,70.25,191.5,2019-09-11 22:25:41+00:00,15.278534267402092,2019,39.59059664761915,32.5966,-9.99e-29,28.826681818181818,32.58056666666666,31.396397560975622,-9.99e-29,8.9726,8.091990909090908,2.2119166666666668,5.154473170731707,0.0,,,,,,,,143.75593090625,0.1238632455632446,0.07585504358520537,0.0352688553707892
85,os1901l3c074_ctd,69.5,191.53,2019-09-17 17:03:17+00:00,14.461593823946275,2019,47.50992340485147,32.2623,28.1615,28.162972727272724,32.10006666666667,30.071320408163256,4.907,10.4844,10.396736363636363,5.56,8.873391836734692,0.0,,,,,,,,87.90691200000002,0.0,0.15560820464859831,0.0
86,os1901l3c075_ctd,69.5,192.9,2019-09-17 21:10:55+00:00,14.3625447718953,2019,42.561488056475014,31.8926,29.4147,29.41710909090909,31.7889,30.329783720930223,6.7768,10.2555,10.237827272727273,7.127266666666667,9.370727906976745,0.0,,,,,,,,57.643237299999996,0.0,0.09037284693406626,0.0
87,os1901l3c076_ctd,69.49,194.26,2019-09-18 16:49:37+00:00,14.3625447718953,2019,32.66427368432953,31.203,29.6896,29.69049090909091,30.807850000000002,29.89208235294118,8.8478,10.202,10.107436363636364,9.390849999999999,9.989397058823528,0.0,,,,,,,,40.22830921311475,0.0,0.02433837695072652,0.0
88,os1901l3c077_ctd,69.5,195.79,2019-09-18 22:38:04+00:00,16.1570289079807,2019,19.797146912785013,30.903,29.886,29.887063636363635,30.140199999999997,29.959623809523805,9.2554,9.7795,9.259809090909089,9.403433333333332,9.300585714285715,0.0,,,,,,,,25.713649411764706,0.0,0.016463658809147415,0.0
89,os1901l3c078_ctd,68.76,192.91,2019-09-19 16:59:30+00:00,15.4026562299285,2019,38.60441086578214,31.6221,28.4687,28.586936363636365,31.595766666666663,30.337640000000004,7.9438,10.8429,10.242045454545455,8.126700000000001,9.553042500000002,0.0,,,,,,,,43.65391912903225,0.0,0.05978356434019525,0.007730633319851427
90,os1901l3c079_ctd,68.75,191.5,2019-09-19 23:53:11+00:00,15.4026562299285,2019,49.491545538631485,32.6824,30.566,31.452936363636365,32.67995,32.237943137254895,2.6081,7.6543,7.004209090909092,2.618133333333333,4.841588235294117,0.0,,,,,,,,27.977527322580645,0.0,0.04111157900735449,0.0025784263499695993
91,os1901l3c080_ctd,68.0,191.47,2019-09-20 16:58:00+00:00,14.903717411815668,2019,55.432350607934445,32.9707,32.1138,32.11426363636363,32.970083333333335,32.73709642857143,3.635,6.3379,6.316181818181819,3.635433333333333,4.456198214285712,0.0,,,,,,,,51.79568993333333,0.0,0.05787014590867907,0.0003218087615649473
92,os1901l3c081_ctd,68.0,192.79,2019-09-20 22:44:08+00:00,14.903717411815668,2019,52.46314273844227,32.3827,31.9026,31.902890909090903,32.36241666666667,32.087818518518525,5.6149,8.0311,8.022318181818182,5.710733333333334,7.121805555555555,0.0,,,,,,,,28.825139857142858,0.0,0.025627336979101717,6.218426928495493e-05
93,os1901l3c082_ctd,68.0,194.21,2019-09-21 17:23:24+00:00,14.316402703875228,2019,24.74844574912908,30.4862,27.696,27.94179090909091,30.449466666666666,29.199134615384615,9.3165,10.6406,9.505490909090911,10.2001,10.005526923076925,0.0,,,,,,,,62.54956648275862,0.0,0.004530010234945316,0.0
94,os1901l3c083_ctd,67.63,195.0,2019-09-21 23:57:07+00:00,11.923094207783715,2019,33.65797182400165,31.4615,29.698,30.02043636363636,31.448783333333335,30.64712571428572,8.5644,10.2526,9.524772727272726,8.598966666666668,9.596265714285712,0.0,,,,,,,,13.971046916666667,,,
95,os1901l3c084_ctd,67.25,191.5,2019-09-22 16:58:33+00:00,15.03517317149189,2019,41.577721776872394,32.3844,28.79,29.125600000000006,32.36478333333333,31.528623255813955,4.2391,8.0243,7.920836363636363,4.304566666666667,5.424418604651162,0.0,,,,,,,,40.86005263333333,0.0,0.03558779483328604,0.022435783699248903
96,os1901l3c085_ctd,67.25,192.79,2019-09-22 21:29:49+00:00,15.03517317149189,2019,40.58786069456403,31.8774,28.3204,28.681872727272722,31.86518333333333,30.882892857142856,7.29,9.4007,9.118954545454546,7.31785,8.16184761904762,0.0,,,,,,,,37.90822683606558,0.0,0.03250903752846373,0.018256456619362416
97,os1901l3c086_ctd,67.25,194.12,2019-09-23 16:45:50+00:00,13.63659586488935,2019,31.679023504695373,31.3295,29.5747,29.755036363636364,31.317766666666667,30.669224999999997,8.968,9.5533,9.228654545454544,9.540283333333333,9.30983125,0.0,,,,,,,,35.931868875,9.872615522286418e-06,0.029287321295064277,0.0004971075749864009
98,os1901l3c087_ctd,67.25,195.29,2019-09-23 21:42:27+00:00,11.923094207783715,2019,28.709323139559732,31.3532,29.9941,30.05495454545455,31.193083333333334,30.41811666666667,8.5742,9.9187,9.617927272727274,8.97445,9.571083333333336,0.0,,,,,,,,175.83493548,0.000767094753106023,0.03535952272238946,0.0
99,os1901l3c088_ctd,66.87,195.0,2019-09-24 04:37:37+00:00,11.937700605664489,2019,23.760322348547213,30.0192,29.7265,29.72999090909091,29.9294,29.777880000000003,10.1218,10.2735,10.134754545454545,10.244466666666666,10.167628000000002,0.0,,,,,,,,,,,
100,os1901l3c089_ctd,66.5,193.98,2019-09-24 16:28:54+00:00,14.781686913050754,2019,15.84092222511009,29.2437,29.2429,29.243572727272728,29.24332,29.24349375,9.8508,9.8661,9.858400000000001,9.86364,9.8600375,0.0,,,,,,,,48.20701248275862,0.0,9.475111892381058e-05,0.0
101,os1901l3c090_ctd,66.5,192.75,2019-09-24 20:18:43+00:00,14.781686913050754,2019,26.730836524145168,29.5534,27.6054,27.60578181818182,29.141566666666666,28.05421071428571,9.8944,10.7004,9.897609090909093,10.660566666666666,10.166078571428573,0.0,,,,,,,,312.65338685245905,0.0,0.005099692919619633,0.0
102,os1901l3c091_ctd,66.51,191.47,2019-09-26 17:55:17+00:00,15.382410042559979,2019,48.50891104070611,32.3264,31.232,31.494118181818184,32.3048,31.91195799999999,4.6102,7.3607,7.260863636363635,4.706699999999999,6.400312000000001,0.0,,,,,,,,137.25283434374998,0.0,0.011883474510807266,0.0
0,CH-A01-2012,66.0,-168.5,2012-01-01 00:00:00,15.052790548979756,2012,,,,32.532,32.836999999999996,,,,1.8019999999999998,2.061,,8.0,0.0,CH-A01,1.0,CTD,53.0,5.0,5.0,28.922626829268292,1.1658831707317074e-06,3.074506097560976e-05,0.08186315133536584
1,CH-A02-2012,66.0,-167.27151202424716,2012-01-01 00:00:00,15.05575386726626,2012,,,,26.593000000000004,29.212,,,,10.540999999999999,9.347999999999999,,7.0,1.0,CH-A02,3.0,CTD,20.0,6.0,6.0,37.60865263157894,3.9896281228070175e-06,0.00010520701228070176,4.565009631578947e-06
2,CH-B01-2012,66.5,-168.5,2012-01-01 00:00:00,15.052790548979756,2012,,,,31.811999999999998,32.486,,,,5.329,1.415,,6.5,2.0,CH-B01,9.0,CTD,52.0,5.0,5.0,81.697674,6.672485714285715e-05,0.0,0.00016987114285714285
3,CH-B02-2012,66.5,-167.24690249690434,2012-01-01 00:00:00,15.05575386726626,2012,,,,26.642,30.33,,,,10.174,7.941,,5.5,3.0,CH-B02,6.0,CTD,29.0,6.0,6.0,20.112643055555555,0.0003749997875,8.767916666666668e-06,0.0022704911527777778
4,CH-B03-2012,66.5,-165.993804993809,2012-01-01 00:00:00,15.05925497740284,2012,,,,29.398000000000003,29.595,,,,9.78,9.426,,8.5,4.0,CH-B03,4.0,CTD,19.0,6.0,6.0,8.495159183673469,8.292040816326531e-08,0.00026192555102040816,0.0016284477551020409
5,CH-C01-2012,67.0,-168.5,2012-01-01 00:00:00,15.053760720012887,2012,,,,31.927,32.33,,,,4.332,1.485,,15.0,5.0,CH-C01,10.0,CTD,39.0,5.0,5.0,2.1051207692307687,0.0,0.0,0.0
6,CH-C02-2012,67.0,-167.2211874378042,2012-01-01 00:00:00,15.05686885666232,2012,,,,30.374000000000002,31.557,,,,8.267000000000001,5.763,,15.0,6.0,CH-C02,13.0,CTD,39.0,6.0,5.0,186.0525928125,0.0,0.0,0.0
7,CH-C03-2012,67.0,-165.942374875608,2012-01-01 00:00:00,15.059575865612965,2012,,,,28.479,29.459,,,,9.904,8.969,,11.5,7.0,CH-C03,15.0,CTD,24.0,6.0,6.0,40.038301298701306,0.0,0.0,0.0
8,CH-C04-2012,67.0,-164.663562313412,2012-01-01 00:00:00,15.059575865612965,2012,,,,30.217,31.340999999999998,,,,9.137,6.997000000000001,,11.0,8.0,CH-C04,17.0,CTD,27.0,6.0,5.0,8.8917138,0.0,0.0,0.02307217
9,CH-D01-2012,67.5,-168.5,2012-01-01 00:00:00,15.054715055770197,2012,,,,28.314,32.563,,,,7.125,1.085,,2.5,9.0,CH-D01,25.0,CTD,49.0,6.0,5.0,38.16535217391304,0.0,0.0,0.0399685152173913
10,CH-D02-2012,67.5,-167.19429331368374,2012-01-01 00:00:00,15.057977690356942,2012,,,,31.845,32.371,,,,5.653,2.176,,3.5,10.0,CH-D02,23.0,CTD,46.0,5.0,5.0,9.822748529411765,0.0,0.0,0.003777515294117647
11,CH-D03-2012,67.5,-165.888586627367,2012-01-01 00:00:00,15.059891410511883,2012,,,,28.996,32.071,,,,9.919,4.234,,5.0,11.0,CH-D03,20.0,CTD,40.0,6.0,5.0,20.833366666666667,0.0,0.0,0.0008010487999999999
