,Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
114,66.28,-166.98,21.965,13.13,0.12235,1.1784e-06,3.1021e-06,1.5509999999999998e-06,0.0027730999999999997,3.2912e-05
115,66.28399999999999,-166.96,21.541,13.245999999999999,0.32264,1.1862e-06,3.1224e-06,1.5611000000000002e-06,0.0027913,3.3127900000000005e-05
116,66.289,-166.95,21.129,23.755,0.79519,2.1304e-06,5.6079999999999995e-06,2.8038e-06,0.0050132,5.94983e-05
117,66.293,-166.93,20.659000000000002,28.967,0.83924,2.6277999999999996e-06,6.9173e-06,3.4585000000000004e-06,0.0061836999999999994,7.33902e-05
118,66.297,-166.91,20.235,38.286,0.026599,3.4774e-06,9.1538e-06,4.576700000000001e-06,0.008183,9.7119e-05
119,66.30199999999999,-166.89,19.752,48.419,0.016115,4.4208e-06,1.1637e-05,5.818300000000001e-06,0.010403,0.000123468
120,66.55199999999999,-165.97,19.035999999999998,6.9937,0.0041979999999999995,0.0,0.0013463,0.0015242,5.4591000000000006e-05,0.00022064
121,66.558,-165.96,19.16,6.4541,1.8342,0.0,0.0012413,0.0014053,5.0333e-05,0.00020343
122,66.563,-165.94,19.16,11.231,1.3865,0.0,0.00216,0.0024454,8.758700000000001e-05,0.00035399
123,66.548,-165.74,17.517,5.1131,1.8753,0.0,0.00098323,0.0011131,3.9869e-05,0.000161135
124,66.544,-165.76,17.59,4.3899,8.7689,0.0,0.00084428,0.00095583,3.4235e-05,0.00013836399999999998
125,66.54,-165.78,17.719,15.862,3.2104,0.0,0.0030500999999999996,0.0034530999999999997,0.00012368,0.00049986
126,66.53699999999999,-165.79,17.801,3.8537,1.7634,0.0,0.00074129,0.00083923,3.0058000000000003e-05,0.000121485
127,66.533,-165.81,17.827,25.151999999999997,0.62019,4.0668e-06,0.0031506,0.0035669000000000005,0.0018022000000000001,0.00051634
128,66.53,-165.83,17.861,2.3384,2.3889,0.0,0.00044956,0.00050896,1.8229e-05,7.3677e-05
129,66.52600000000001,-165.85,17.672,38.013000000000005,1.8518,0.0,0.0073013,0.008265999999999999,0.00029606,0.00119657
130,66.523,-165.87,17.544,8.4276,0.7855,0.0,0.0016215,0.0018358,6.5751e-05,0.00026574
131,66.51899999999999,-165.89,17.387999999999998,10.603,2.634,0.0,0.0020393,0.0023087,8.269e-05,0.0003342
132,66.515,-165.91,17.076,12.269,5.6491,0.0,0.0023611,0.002673,9.574e-05,0.00038694
133,66.512,-165.93,16.980999999999998,11.425999999999998,1.4679,0.0,0.0021996,0.0024901999999999997,8.919100000000001e-05,0.00036048
134,66.508,-165.95,16.902,6.8819,11.77,0.0,0.0013237,0.0014985999999999999,5.3676000000000006e-05,0.00021693
135,66.505,-165.97,16.886,9.1394,3.4597,0.0,0.0017580999999999999,0.0019904,7.129e-05,0.00028812
136,66.502,-165.98,16.947,28.22,2.8492,0.0,0.005425800000000001,0.0061427,0.00022001,0.0008891999999999999
137,66.501,-166.0,17.195,19.778,1.5624,0.0,0.0038082999999999997,0.0043115,0.00015443,0.0006241300000000001
138,66.5,-166.03,17.463,22.903000000000002,0.79361,0.0,0.0044136,0.0049967,0.00017897,0.00072331
139,66.499,-166.05,17.477,16.730999999999998,0.8384799999999999,0.0,0.0032207,0.0036461999999999996,0.0001306,0.00052782
140,66.499,-166.07,17.737000000000002,12.515,5.3346,0.0,0.0024088,0.002727,9.7674e-05,0.00039475999999999997
141,66.5,-166.09,17.758,6.625,0.5229699999999999,0.0,0.0012748,0.0014432,5.1691000000000004e-05,0.00020891
142,66.5,-166.11,17.897000000000002,2.6585,0.68297,0.0,0.0005119,0.00057954,2.0756999999999998e-05,8.3893e-05
143,66.499,-166.13,17.984,7.2038,0.06878200000000001,0.0,0.0013858,0.0015689,5.6193e-05,0.00022710999999999999
144,66.499,-166.15,18.01,3.2645,0.054929,0.0,0.00062635,0.00070911,2.5398000000000003e-05,0.000102648
145,66.499,-166.17,18.043,1.9926,0.083775,0.0,0.00038332,0.00043397,1.5543e-05,6.2821e-05
146,66.499,-166.19,17.95,6.2856,0.055795000000000004,0.0,0.0012092000000000001,0.0013689,4.903e-05,0.000198162
147,66.499,-166.21,17.692,2.5412,0.085999,0.0,0.00048873,0.0005533,1.9818e-05,8.0095e-05
148,66.5,-166.23,17.37,4.5403,0.26358000000000004,0.0,0.00087376,0.00098921,3.543e-05,0.000143196
149,66.5,-166.25,17.1,5.1122,0.5674600000000001,0.0,0.00098262,0.0011124000000000002,3.9844e-05,0.000161035
150,66.5,-166.27,16.81,11.019,0.92542,0.0,0.0021189,0.0023988000000000004,8.5919e-05,0.00034725999999999995
151,66.5,-166.3,16.507,5.0176,1.2887,0.0,0.00096351,0.0010907999999999998,3.907e-05,0.000157904
152,66.498,-166.3,16.676,7.4093,0.82625,0.0,0.0014243,0.0016125,5.7753999999999996e-05,0.00023342
153,66.497,-166.3,16.756,5.4197,0.49068,0.0,0.0010414999999999999,0.0011790999999999998,4.2233e-05,0.000170689
154,66.499,-166.32,16.198,5.3257,4.4777,0.0,0.0010239,0.0011591,4.1516999999999996e-05,0.000167795
155,66.501,-166.34,15.878,13.052999999999999,1.7127,0.0,0.0025104,0.0028420999999999997,0.00010180000000000001,0.00041142
156,66.501,-166.36,15.512,7.949,0.054108,0.0,0.0015278,0.0017297,6.1951e-05,0.00025038
157,66.501,-166.38,15.197000000000001,2.7188,0.008362999999999999,0.0,0.00052237,0.00059139,2.1181999999999998e-05,8.560799999999998e-05
158,66.5,-166.4,15.109000000000002,1.5758,1.1246,0.0,0.00030244,0.0003424,1.2264000000000002e-05,4.9565000000000004e-05
159,66.5,-166.42,15.357000000000001,0.9888,3.3073,0.0,0.00018984,0.00021492,7.6977e-06,3.1111e-05
160,66.5,-166.44,15.755,1.0358,1.5028,0.0,0.00019895,0.00022523,8.067100000000001e-06,3.2604e-05
161,66.5,-166.46,16.162,1.9956,0.9122,0.0,0.00038337,0.00043402,1.5545e-05,6.282799999999999e-05
162,66.5,-166.49,16.594,1.851,0.56617,0.0,0.00035509,0.00040201,1.4399e-05,5.8194000000000006e-05
163,66.5,-166.51,17.073,2.9214,1.7108,0.0,0.00056133,0.00063549,2.2760999999999998e-05,9.1992e-05
164,66.5,-166.53,17.625999999999998,4.8827,0.58396,0.0,0.00093742,0.0010613,3.8011e-05,0.000153628
165,66.5,-166.55,18.261,2.4505,0.33402,0.0,0.0004711,0.00053335,1.9103e-05,7.720599999999999e-05
166,66.5,-166.57,19.069000000000003,3.9774,0.074946,0.0,0.00076536,0.00086648,3.1035e-05,0.000125429
167,66.5,-166.59,19.965999999999998,14.774000000000001,1.143,0.0,0.0028418000000000002,0.0032173,0.00011523,0.00046573000000000003
168,66.5,-166.61,21.146,3.3802,0.015494999999999998,0.0,0.00065075,0.00073674,2.6388000000000002e-05,0.000106648
169,66.499,-166.63,21.935,17.395,0.79975,0.0010211999999999999,0.0013390999999999998,0.0061903999999999995,0.0019485,0.0
170,66.499,-166.65,22.910999999999998,7.8216,0.07849199999999999,0.00045169,0.00059231,0.0027381999999999997,0.00086189,0.0
171,66.499,-166.67,24.021,26.128,0.045535,0.0014722000000000001,0.0019305,0.0089245,0.0028090999999999997,0.0
172,66.499,-166.69,24.918000000000003,226.76,0.045163999999999996,0.00050506,0.00052328,0.0024191,0.044412,0.0
173,66.499,-166.71,25.708000000000002,8.5088,0.012097,0.00049666,0.00065128,0.0030108,0.00094769,0.0
174,66.499,-166.73,26.474,6.6159,0.098534,0.00038760000000000004,0.00050827,0.0023497,0.00073959,0.0
175,66.499,-166.75,27.185,2.2244,0.12385999999999998,0.00013098,0.00017176,0.00079404,0.00024993,0.0
176,66.498,-166.78,27.843000000000004,1.415,1.3941,8.3223e-05,0.00010913,0.00050452,0.0001588,0.0
177,66.499,-166.8,28.506999999999998,6.3069,0.34661,0.00036259,0.00047547,0.0021980999999999997,0.00069187,0.0
178,66.499,-166.82,29.125999999999998,10.128,0.27715,0.00058339,0.00076502,0.0035366,0.0011132,0.0
179,66.499,-166.84,29.569000000000003,2.9759,0.29765,0.00017489,0.00022934,0.0010602,0.00033372,0.0
180,66.499,-166.86,29.945999999999998,0.9653799999999999,0.34899,5.6041e-05,7.3488e-05,0.00033973,0.00010693,0.0
181,66.499,-166.88,30.326,0.65603,1.9867,3.8299e-05,5.0222e-05,0.00023217,7.3079e-05,0.0
