Interval,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13
20170809162120,70.5012665,-161.48541569999998,0.0,0.0,0.0,0.0,0.0,0.0,0.001157380376421614,0.0017360705646277564,0.0003857934588067188,0.0003857934588067188,0.00019289672940318444,0.0,0.0
20170809162435,70.5011813,-161.4603206,0.0,0.0,0.0,0.0,0.0,0.0,0.0004080866172077936,0.0006121299258122677,0.00013602887240265614,0.00013602887240265614,6.801443620147387e-05,0.0,0.0
20170809162749,70.5012628,-161.43545759999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361187954579457,0.0008041781931856052,0.00017870626515239553,0.00017870626515239553,8.935313257622692e-05,0.0,0.0
20170809163103,70.5012155,-161.4103197,0.0,0.0,0.0,0.0,0.0,0.0,0.001157424081034921,0.0017361361215482995,0.00038580802701113494,0.00038580802701113494,0.0001929040135057716,0.0,0.0
20170809163419,70.501191,-161.3853264,0.0,0.0,0.0,0.0,0.0,0.0,0.00028267687889159583,0.0004240153183373937,9.422562629698384e-05,9.422562629698384e-05,4.7112813148577923e-05,0.0,0.0
20170809163733,70.5010892,-161.36024740000002,0.0,0.0,0.0,0.0,0.0,0.0,0.000557573521059677,0.0008363602815908403,0.00018585784035311776,0.00018585784035311776,9.29289201765886e-05,0.0,0.0
20170809164047,70.5012407,-161.33658880000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0009486515417816358,0.0014229773126740574,0.0003162171805937426,0.0003162171805937426,0.00015810859029716286,0.0,0.0
20170809164425,70.50100520000001,-161.3119878,0.0,0.0,0.0,0.0,0.0,0.0,0.00032818691772244936,0.0004922803765847965,0.00010939563924090003,0.00010939563924090003,5.469781962042378e-05,0.0,0.0
20170809164932,70.50091579999999,-161.2871633,0.0,0.0,0.0,0.0,0.0,0.0,0.0005481476751483103,0.0008222215127227701,0.0001827158917161909,0.0001827158917161909,9.135794585804266e-05,0.0,0.0
20170809165451,70.5010033,-161.26232240000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0008466648674793756,0.0012699973012189176,0.00028222162249325056,0.00028222162249325056,0.0001411108112464072,0.0,0.0
20170809170019,70.5008868,-161.237378,0.0,0.0,0.0,0.0,0.0,0.0,0.00042805147207984823,0.0006420772081207783,0.00014268382402646021,0.00014268382402646021,7.134191201341961e-05,0.0,0.0
20170809170549,70.50075079999999,-161.2123238,0.0,0.0,0.0,0.0,0.0,0.0,0.0008031644255194897,0.001204746638279089,0.0002677214751733576,0.0002677214751733576,0.00013386073758653302,0.0,0.0
20170809171127,70.50059830000001,-161.1872392,0.0,0.0,0.0,0.0,0.0,0.0,0.0005970704246609579,0.0008956056369914378,0.0001990234748870636,0.0001990234748870636,9.951173744321124e-05,0.0,0.0
20170809171706,70.5005847,-161.1622042,0.0,0.0,0.0,0.0,0.0,0.0,0.0017760850743711778,0.0026641276115553086,0.0005920283581236093,0.0005920283581236093,0.0002960141790619504,0.0,0.0
20170809172252,70.50060309999999,-161.13718369999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0009776723841129083,0.0014665085761685168,0.00032589079470450187,0.00032589079470450187,0.0001629453973521912,0.0,0.0
20170809172839,70.5002746,-161.11225109999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0011697378561023866,0.001754606784152268,0.0003899126187006983,0.0003899126187006983,0.00019495630935052407,0.0,0.0
20170809173428,70.5000694,-161.08733940000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0014767497251376713,0.002215124587703009,0.0004922499083790391,0.0004922499083790391,0.00024612495418980824,0.0,0.0
20170809174030,70.4999267,-161.0624461,0.0,0.0,0.0,0.0,0.0,0.0,0.0008263410803090116,0.0012395116204615055,0.00027544702676957723,0.00027544702676957723,0.00013772351338470115,0.0,0.0
20170809174630,70.49990629999999,-161.03733789999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0009436134434491462,0.0014154201651751768,0.00031453781448285436,0.00031453781448285436,0.00015726890724180622,0.0,0.0
20170809175229,70.4997983,-161.0124179,0.0,0.0,0.0,0.0,0.0,0.0,0.0006430835557864011,0.0009646253336798931,0.00021436118526221143,0.00021436118526221143,0.00010718059263093078,0.0,0.0
20170809175829,70.4997255,-160.9877076,0.0,0.0,0.0,0.0,0.0,0.0,0.00026704660852362055,0.00040056991278560565,8.901553617462762e-05,8.901553617462762e-05,4.450776808729923e-05,0.0,0.0
20170809180432,70.50039670000001,-160.9628101,0.0,0.0,0.0,0.0,0.0,0.0,0.000607971953611238,0.000911957930417586,0.00020265731787052932,0.00020265731787052932,0.00010132865893523552,0.0,0.0
20170809181128,70.50022790000001,-160.93801090000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0019032173941804203,0.0028548260912734003,0.0006344057980597125,0.0006344057980597125,0.00031720289902985625,0.0,0.0
20170809181735,70.5000954,-160.9128702,0.0,0.0,0.0,0.0,0.0,0.0,0.0035466237396518975,0.00531993560947974,0.0011822079132173962,0.0011822079132173962,0.0005911039566101558,0.0,0.0
20170809182405,70.49991870000001,-160.8878742,0.0,0.0,0.0,0.0,0.0,0.0,0.0010463980531157722,0.0015695970796756997,0.0003487993510388629,0.0003487993510388629,0.00017439967551946057,0.0,0.0
20170809183036,70.49972,-160.8627983,0.0,0.0,0.0,0.0,0.0,0.0,0.0064608563878507975,0.009691284581775466,0.0021536187959534728,0.0021536187959534728,0.0010768093979779026,0.0,0.0
20170809183710,70.4996546,-160.8378407,0.0,0.0,0.0,0.0,0.0,0.0,0.007626214813317807,0.011439322219975252,0.0025420716044342057,0.0025420716044342057,0.0012710358022170881,0.0,0.0
20170809184351,70.49972220000001,-160.8129075,0.0,0.0,0.0,0.0,0.0,0.0,0.004375781321419492,0.0065636719821420665,0.0014585937738076636,0.0014585937738076636,0.0007292968869042982,0.0,0.0
20170809185036,70.4994948,-160.7878336,0.0,0.0,0.0,0.0,0.0,0.0,0.005223972425792267,0.007835958638690441,0.0017413241419308527,0.0017413241419308527,0.0008706620709655721,0.0,0.0
