Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,3,2007,3,0.44,0.26,0.47,0.29
,3,2007,4,0.45,0.29,0.49,0.32
,3,2007,5,1.23,0.12,1.34,0.13
,3,2007,6,1.48,0.12,1.61,0.13
,3,2007,7,1.37,0.11,1.49,0.12
,3,2007,8,1.29,0.08,1.41,0.08
,3,2007,9,1.49,0.21,1.49,0.21
,3,2007,10,0.73,0.13,0.73,0.13
,3,2007,11,1.03,0.34,1.03,0.34
,3,2007,12,1.09,0.37,1.09,0.37
,3,2008,1,0.57,0.36,0.57,0.36
,3,2008,2,0.37,0.32,0.37,0.32
,3,2008,3,0.67,0.37,0.67,0.37
,3,2008,4,1.35,0.13,1.35,0.13
,3,2008,5,1.22,0.16,1.22,0.16
,3,2008,6,1.24,0.21,1.24,0.21
,3,2008,7,1.35,0.12,1.35,0.12
,3,2008,8,1.11,0.18,1.11,0.18
,3,2008,9,1.01,0.12,1.01,0.12
,3,2008,10,0.46,0.32,0.46,0.32
,3,2008,11,0.48,0.2,0.48,0.2
,3,2008,12,1.06,0.47,1.06,0.47
,3,2009,1,0.19,0.26,0.19,0.26
,3,2009,2,1.02,0.37,1.02,0.37
,3,2009,3,0.51,0.38,0.51,0.38
,3,2009,4,1.43,0.17,1.43,0.17
,3,2009,5,1.45,0.2,1.45,0.2
,3,2009,6,1.39,0.25,1.39,0.25
,3,2009,7,1.72,0.24,1.72,0.24
,3,2009,8,1.05,0.14,1.05,0.14
,3,2009,9,0.62,0.24,0.61,0.24
,3,2009,10,1.1,0.24,1.09,0.24
,3,2009,11,-0.04,0.42,-0.04,0.42
,3,2009,12,0.99,0.44,0.98,0.44
,3,2010,1,0.64,0.35,0.63,0.35
,3,2010,2,0.64,0.35,0.63,0.35
,3,2010,3,0.89,0.3,0.88,0.29
,3,2010,4,0.99,0.19,0.98,0.19
,3,2010,5,1.41,0.28,1.4,0.27
,3,2010,6,1.97,0.16,1.95,0.16
,3,2010,7,1.11,0.14,1.1,0.14
,3,2010,8,1.41,0.09,1.4,0.09
,3,2010,9,1.24,0.38,1.24,0.38
,3,2010,10,1.06,0.34,1.06,0.34
,3,2010,11,0.68,0.36,0.68,0.36
,3,2010,12,0.28,0.48,0.28,0.48
,3,2011,1,0.92,0.45,0.92,0.45
,3,2011,2,1.33,0.4,1.33,0.4
,3,2011,3,1.37,0.13,1.37,0.13
,3,2011,4,0.57,0.28,0.57,0.28
,3,2011,5,1.61,0.13,1.61,0.13
,3,2011,6,1.91,0.1,1.91,0.1
,3,2011,7,1.58,0.21,1.58,0.21
,3,2011,8,1.37,0.15,1.37,0.15
,3,2011,9,0.64,0.33,0.64,0.33
,3,2011,10,1.31,0.22,1.31,0.22
,3,2011,11,0.27,0.4,0.27,0.4
,3,2011,12,0.08,0.5,0.08,0.5
,3,2012,1,0.16,0.38,0.16,0.38
,3,2012,2,0.33,0.17,0.33,0.17
,3,2012,3,0.31,0.22,0.31,0.22
,3,2012,4,1.29,0.27,1.29,0.27
,3,2012,5,1.21,0.36,1.21,0.36
,3,2012,6,1.28,0.17,1.28,0.17
,3,2012,7,1.23,0.13,1.23,0.13
,3,2012,8,1.14,0.18,1.14,0.18
,3,2012,9,0.43,0.23,0.43,0.23
,3,2012,10,0.49,0.51,0.49,0.51
,3,2012,11,0.82,0.38,0.82,0.38
,3,2012,12,0.56,0.48,0.56,0.48
,3,2013,1,0.86,0.23,0.86,0.23
,3,2013,2,0.18,0.28,0.18,0.28
,3,2013,3,1.35,0.33,1.35,0.33
,3,2013,4,0.96,0.25,0.96,0.25
,3,2013,5,1.19,0.23,1.19,0.23
,3,2013,6,1.4,0.09,1.4,0.09
,3,2013,7,1.5,0.19,1.49,0.19
,3,2013,8,1.18,0.14,1.17,0.14
,3,2013,9,1.29,0.18,1.28,0.18
,3,2013,10,1.03,0.18,1.02,0.18
,3,2013,11,0.91,0.35,0.9,0.35
,3,2013,12,0.98,0.59,0.97,0.58
,3,2014,1,0.63,0.68,0.63,0.68
,3,2014,2,0.44,0.72,0.43,0.71
,3,2014,3,1.04,0.56,1.04,0.55
,3,2014,4,1.28,0.31,1.27,0.31
,3,2014,5,1.6,0.22,1.59,0.22
,3,2014,6,1.54,0.14,1.53,0.14
,3,2014,7,1.51,0.1,1.5,0.1
,3,2014,8,1.48,0.2,1.47,0.2
,3,2014,9,1.32,0.19,1.31,0.19
,3,2014,10,0.98,0.4,0.97,0.39
,3,2014,11,1.63,0.3,1.62,0.3
,3,2014,12,0.69,0.29,0.69,0.29
,3,2015,1,1.06,0.36,1.05,0.36
,3,2015,2,1.08,0.45,1.08,0.45
,3,2015,3,1.01,0.15,1,0.14
,3,2015,4,0.99,0.23,0.98,0.23
,3,2015,5,1.93,0.09,1.92,0.09
,3,2015,6,1.47,0.15,1.46,0.14
,3,2015,7,1.87,0.06,1.87,0.06
,3,2015,8,1.36,0.16,1.36,0.16
,3,2015,9,0.56,0.25,0.56,0.25
,3,2015,10,1.01,0.3,1.01,0.3
,3,2015,11,0.28,0.25,0.28,0.25
,3,2015,12,0.42,0.32,0.42,0.32
,3,2016,1,0.36,0.27,0.36,0.27
,3,2016,2,1.16,0.29,1.16,0.29
,3,2016,3,0.74,0.18,0.74,0.18
,3,2016,4,0.94,0.14,0.94,0.14
,3,2016,5,1.65,0.15,1.65,0.15
,3,2016,6,1,0.11,1,0.11
,3,2016,7,1.1,0.15,1.09,0.15
,3,2016,8,0.79,0.23,0.78,0.23
,3,2016,9,0.66,0.39,0.65,0.38
,3,2016,10,2.07,0.49,2.05,0.49
,3,2016,11,0.75,0.61,0.74,0.6
,3,2016,12,1.24,0.48,1.23,0.48
,3,2017,1,0.49,0.64,0.48,0.64
,3,2017,2,0.35,0.8,0.35,0.8
