SURVEY,EVENT_ID,GEAR,EQ_TIME,EQ_LONGITUDE,EQ_LATITUDE,HB_TIME,HB_LONGITUDE,HB_LATITUDE,BOTTOM_DEPTH_START,AVG_HEAD_ROPE_DEPTH,AVG_NET_VERT_OPENING,AVG_NET_HORI_OPENING,MIN_HEAD_ROPE_DEPTH,MAX_HEAD_ROPE_DEPTH,YEAR,NET_AREA,TRAWL_DIST,VOL_FILTERED
201901,404,Marinovich,24-SEP-19 10.27.38.265000000 PM,-167.2187,66.5112,24-SEP-19 10.45.14.332000000 PM,-167.2474,66.5049,29,20.02,7,,18,21,2019,52.1434375,1457.619289,76005.28028
201901,405,Marinovich,26-SEP-19 03.39.16.220000000 PM,-168.2107,66.5066,26-SEP-19 03.57.29.203000000 PM,-168.1772,66.5108,32,23.07,7,,23,24,2019,52.1434375,1562.545546,81476.49599
2012001,3,CanTrawl,07-AUG-12 10.09.48.005000000 PM,168.4897,65.9988,07-AUG-12 10.39.48.596000000 PM,168.5409,66.0256,,1.6,16.25,53.26,0,4,2012,865.475,3785.462744,3276223.368
2012001,7,CanTrawl,08-AUG-12 04.27.30.963000000 AM,167.3923,66.0804,08-AUG-12 04.57.34.890000000 AM,167.4257,66.1134,,4.77,14.77,60.07,3,6,2012,887.2339,3977.847395,3529281.058
2012001,10,CanTrawl,08-AUG-12 04.22.00.601000000 PM,165.8447,66.5703,08-AUG-12 04.52.00.289000000 PM,165.7476,66.5632,,2,14.72,57.97,2,2,2012,853.3184,4382.848945,3739965.649
2012001,14,CanTrawl,08-AUG-12 10.56.00.442000000 PM,167.2878,66.4781,08-AUG-12 11.26.27.653000000 PM,167.314,66.451,,4.142857143,21.73,54.23,2,8,2012,1178.4179,3239.867107,3817917.392
2012001,15,CanTrawl,09-AUG-12 01.16.46.948000000 AM,167.4197,66.5,09-AUG-12 01.34.00.665000000 AM,167.4662,66.5011,,19.33333333,9.63,65,18,20,2012,625.95,2073.488137,1297899.9
2012001,19,CanTrawl,09-AUG-12 05.56.30.351000000 AM,168.5331,66.4836,09-AUG-12 06.26.30.730000000 AM,168.5761,66.4549,,5.166666667,19.73,56.19,3,8,2012,1108.6287,3730.384028,4135610.795
2012001,22,CanTrawl,09-AUG-12 04.02.01.290000000 PM,168.5022,66.982,09-AUG-12 04.31.59.686000000 PM,168.5184,66.9509,,3.6,20.01,55.45,1,5,2012,1109.5545,3539.762619,3927559.543
2012001,24,CanTrawl,09-AUG-12 08.02.55.210000000 PM,167.6156,67.0019,09-AUG-12 08.10.32.349000000 PM,167.6358,67.002,,14.66666667,21.48,40,12,16,2012,859.2,881.1215685,757059.6517
