,Interval,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1965,20190921085537,68.0014538,-166.37472350000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001544686964990303,0.0016991556614887181,0.00571534177046238,0.0029349052334825404,0.00030893739299823846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001544686964990303,0.0001544686964990303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,20190921090134,68.0014319,-166.35228569999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0001975193554412922,0.002172712909854387,0.007308216151334322,0.003752867753384118,0.00039503871088264567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001975193554412922,0.0001975193554412922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,20190921090732,68.0011689,-166.3302119,0.0,0.0,0.0,0.0,0.0,0.0,0.00013490306641305414,0.0014839337305475606,0.004991413457294724,0.002563158261851644,0.00026980613282663303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013490306641305414,0.00013490306641305414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,20190921091327,68.0009553,-166.3079491,0.0,0.0,0.0,0.0,0.0,0.0,8.389418394179546e-05,0.0009228360233595459,0.0031040848058482102,0.0015939894948951926,0.000167788367883416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.389418394179546e-05,8.389418394179546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,20190921091927,68.00068,-166.2856138,0.0,0.0,0.0,0.0,0.0,0.0,8.145506575887255e-05,0.0008960057233463678,0.0030138374330777183,0.001547646249420975,0.00016291013151761684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.145506575887255e-05,8.145506575887255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,20190921092528,68.0003817,-166.2632521,0.0,0.0,0.0,0.0,0.0,0.0,0.00010235454681194284,0.0011259000149319632,0.0037871182320425,0.001944736389426643,0.0002047090936238886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010235454681194284,0.00010235454681194284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,20190921093136,68.0002317,-166.24101000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.00018364369168412,0.002020080608525545,0.006794816592320923,0.003489230142003071,0.0003672873833689718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018364369168412,0.00018364369168412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,20190921093740,68.0000717,-166.21888169999997,0.0,0.0,0.0,0.0,0.0,0.0,0.00010774026539251827,0.0011851429193156426,0.0039863898195226745,0.002047065042458448,0.000215480530785124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010774026539251827,0.00010774026539251827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,20190921094341,67.99987159999999,-166.19676669999998,0.0,0.0,0.0,0.0,0.0,0.0,0.00010857150539681286,0.0011942865593643729,0.0040171456996840145,0.002062858602540479,0.00021714301079350906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010857150539681286,0.00010857150539681286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,20190921094943,67.9996483,-166.17451819999997,0.0,0.0,0.0,0.0,0.0,0.0,0.00017964011726503132,0.0019760412899127787,0.006646684338806569,0.0034131622280402017,0.0003592802345302084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017964011726503132,0.00017964011726503132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,20190921095549,67.999577,-166.1523662,0.0,0.0,0.0,0.0,0.0,0.0,0.00018692959406747245,0.0020562255347432467,0.006916394980506742,0.003551662287282385,0.00037385918813471157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018692959406747245,0.00018692959406747245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,20190921100207,67.9995047,-166.1299947,0.0,0.0,0.0,0.0,0.0,0.0,0.00015607963094472617,0.001716875940395737,0.005774946344955077,0.0029655129879501588,0.00031215926188962723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015607963094472617,0.00015607963094472617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
