,profile_id,latitude,longitude,time,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Water_surf,Water_bot
31,os1701l2c093_ctd,71.49883,199.36316000000002,2017-09-06 21:14:32+00:00,42.55654233075114,32.1783,30.9016,30.9019,32.175516666666674,31.348881818181816,0.5954,5.3355,5.327999999999999,0.6011166666666667,3.3848681818181814,22.0,5,5.0
32,os1701l2c094_ctd,71.4925,200.8465,2017-09-07 05:07:22+00:00,43.54613904510684,32.0233,29.8313,29.8329,31.93508333333333,30.746544444444453,-1.1048,4.9316,4.7856,-0.7174166666666667,2.7069155555555544,17.0,1,2.0
33,os1701l2c095_ctd,70.99783000000001,197.5875,2017-09-09 14:05:46+00:00,39.58888541526793,32.1939,31.2928,31.2928,32.184050000000006,31.56278048780489,0.8713,5.0418,5.0405000000000015,0.8781499999999999,3.917019512195122,28.0,5,5.0
34,os1701l2c096_ctd,70.9985,196.09816,2017-09-09 20:16:41+00:00,37.60962222297137,32.3227,31.4922,31.492500000000003,32.28491666666667,31.64755641025641,0.3138,5.7302,5.6778,0.3351166666666667,4.643951282051283,29.0,5,5.0
35,os1701l2c097_ctd,70.99533000000001,196.07266,2017-09-09 20:41:42+00:00,38.599262428453,32.3368,31.515,31.5152,32.30873333333333,31.691495000000003,0.3463,5.7071,5.698900000000001,0.3516166666666667,4.49288,28.5,5,5.0
36,os1701l2c098_ctd,70.972336,194.57166999999998,2017-09-10 02:36:05+00:00,37.60967825261615,32.6308,31.9215,31.9226,32.44083333333333,32.00797692307692,3.6751,6.0468,6.0442,4.344333333333334,5.756256410256411,32.0,5,5.0
37,os1701l2c099_ctd,71.00066,192.98533999999998,2017-09-10 14:03:27+00:00,39.58887903988752,32.3734,31.8375,31.8375,32.31348333333333,31.954768292682928,4.2148,6.5919,6.5653,4.4021,6.181212195121952,31.0,5,5.0
38,os1701l2c100_ctd,70.99916999999999,191.502,2017-09-10 20:30:12+00:00,41.56812480029821,32.6946,32.2621,32.2621,32.64903333333333,32.32036976744186,3.7988,6.2758,6.2573,4.3203,5.986402325581398,36.0,5,5.0
39,os1701l2c101_ctd,71.0,191.49033,2017-09-10 20:51:22+00:00,41.56812283703624,32.6802,32.2609,32.2634,32.631550000000004,32.32071395348837,3.8234,6.3341,6.2779,4.5943,6.033779069767443,36.5,5,5.0
40,os1701l2c102_ctd,70.49883,191.49817,2017-09-11 01:33:22+00:00,35.6313657244946,32.7159,31.9221,31.9222,32.40991666666667,32.08570810810809,3.8505,6.3273,6.326900000000001,5.4334333333333324,6.1578459459459465,33.0,5,5.0
41,os1701l2c103_ctd,70.49916999999999,193.00267,2017-09-11 14:04:35+00:00,43.548600806586755,32.3893,31.5408,31.5408,32.36646666666666,31.76713111111112,4.5069,6.8896,6.8874,4.613783333333334,6.447013333333333,32.0,5,5.0
42,os1701l2c104_ctd,70.49916999999999,194.49383999999998,2017-09-11 20:02:42+00:00,37.61070277327745,32.448,31.6381,31.638100000000005,32.3992,31.80122820512821,4.0186,6.4192,6.419200000000001,4.185533333333333,6.001343589743589,30.0,5,5.0
