StationID,Year,ArcticEis_Station,StationNumber,EventStartDate (GMT),Latitude,Longitude,LatitudeStart DD,LongitudeStart DD,BottomDepth (m),Depth (m),PrimarySalinity PSU,PrimaryTemperature deg. C,ChlorophyllA ug/L,BeamTransmisson %,PARIrradiance uE,PrimaryOxygenSat %,SigmaTheta kg/m3,PO4 uM,SiO4 uM,NO3 uM,NO2 uM,NH4 uM
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,25,32.1913,2.0775,,,0.21837,,25.7164,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,24,32.1915,2.0834,,,0.25706,,25.71613,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,23,32.1909,2.0895,,,0.31081,,25.7152,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,22,32.19025,2.09855,,,0.394985,,25.71402,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,21,32.1896,2.1076,,,0.47916,,25.71283,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,20,32.1917,2.127,,,0.5409,,25.71308,0.619,0.9,0.1,0.01,0.11
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,19,32.1974,2.2101,,,0.61132,,25.71148,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,18,32.2042,2.3641,,,0.72098,,25.70526,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,17,32.1983,2.5898,,,0.8283,,25.68291,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,16,32.2019,2.8468,,,0.98077,,25.66491,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,15,32.20125,3.3092,,,1.1976,,25.62473,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,14,32.2006,3.8915,,,1.1755,,25.57047,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,13,32.2059,3.9458,,,1.2624,,25.56945,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,12,32.2078,4.0026,,,1.5107,,25.56545,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,11,32.2124,4.133,,,1.7963,,25.5563,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,10,32.208,4.2441,,,1.748,,25.54174,0.396,0.8,0,0.01,0.1
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,9,32.1951,4.496,,,2.3669,,25.50585,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,8,32.1888,4.5841,,,2.8369,,25.4917,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,7,32.1896,4.5929,,,3.1151,,25.49141,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,6,32.1913,4.6003,,,3.7331,,25.49198,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,0,32.1944,4.7758,,,31.409,,25.47586,0.409,0.8,0.4,0.03,0.46
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,1,32.1888,4.7845,,,10.732,,25.4705,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,5,32.18785,4.8054,,,4.2593,,25.46754,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,4,32.18439,4.8543,,,4.5476,,25.45955,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,2,32.1934,4.8897,,,5.1894,,25.46286,,,,,
