StationID,MAST_Station,MAST_Latdd,MAST_Longdd,Station,Gear,Year,Depth.bot,Temp.surf,Sal.surf,DIN.surf,Water.surf,Temp.bot,Sal.bot,DIN.bot,Water.bot,MeanStrat,IntChla,phi5,TOC
CH-L01-2012,CH-L01,71.5,-168.5,93.0,CTD,2012,48.0,5.468,30.96,-0.7550225840000001,5.0,-0.292,33.03,1.9169226119999998,3.0,0.145971727,2.351375257,8.658813687,1.237607747
CH-L02-2012,CH-L02,71.5,-166.9252445683719,111.0,CTD,2012,46.0,4.538,30.986,-0.7985076959999999,5.0,0.312,32.714,1.8180767780000002,5.0,0.142542851,2.4765384,9.482615673,1.28
CH-L02.5-2012,CH-L02.5,71.5,-166.14532,112.0,CTD,2012,44.0,3.596,30.569000000000003,-0.271768371,5.0,-0.222,32.782,1.326087105,3.0,0.151788498,2.9704144660000003,9.131812525,0.9
CH-L03-2012,CH-L03,71.5,-165.350489136744,113.0,CTD,2012,40.0,2.988,30.432,-0.94160854,5.0,0.196,32.778,1.391281903,5.0,0.158074656,3.222867846,8.649277426,0.8
CH-L04.5-2012,CH-L04.5,71.5,-162.9834933333333,115.0,CTD,2012,,,,,,,,,,,,,
CH-L05-2012,CH-L05,71.5,-162.200978273488,116.0,CTD,2012,46.0,1.6340000000000001,29.461,0.126261655,1.0,-1.6440000000000001,33.358000000000004,1.9058472469999999,3.0,0.16792010899999998,3.2809112160000002,9.654014709,1.47
CH-L06-2012,CH-L06,71.5,-160.62622284186,117.0,CTD,2012,46.0,3.5789999999999997,29.441,-0.301105093,1.0,-1.665,33.361,2.373622123,3.0,0.168885381,3.589059119,9.557719393,1.19
CH-L07-2012,CH-L07,71.5,-159.051467410231,124.0,CTD,2012,51.0,1.804,27.401,0.23111172100000002,1.0,-1.6969999999999998,33.330999999999996,3.0194487999999997,3.0,0.17849943,3.17805383,9.447221814,1.15
CH-L08-2012,CH-L08,71.5,-157.476711978602,123.0,CTD,2012,98.0,5.027,29.874000000000002,0.086177696,1.0,-1.3319999999999999,33.103,2.187174241,3.0,0.134270579,3.7208625,9.87724658,1.64
CH-M01-2012,CH-M01,72.0,-168.5,109.0,CTD,2012,51.0,3.4539999999999997,29.541,-0.210721031,1.0,-0.518,33.15,2.5771819259999997,3.0,0.16128747699999998,3.514526067,10.02932483,1.331742426
CH-M01.5-2012,CH-M01.5,72.0,-167.68282833333336,110.0,CTD,2012,50.0,5.141,31.034000000000002,0.596586721,5.0,-0.369,33.071,2.743473802,3.0,0.144944154,3.1863526330000003,9.717509969,1.03
CH-M02-2012,CH-M02,72.0,-166.88300774365206,95.0,CTD,2012,48.0,5.172000000000001,30.309,-0.820980552,5.0,-0.723,32.986,1.678963975,3.0,0.15702369,3.0864866369999997,9.717509969,1.03
CH-M03-2012,CH-M03,72.0,-165.266015487304,97.0,CTD,2012,42.0,4.87,30.322,-0.527632742,5.0,-0.26899999999999996,32.946,1.9544450519999998,3.0,0.15962269099999998,3.314186005,8.959352655,0.71
CH-M04-2012,CH-M04,72.0,-163.649023230956,99.0,CTD,2012,40.0,1.396,27.996,-0.153569853,1.0,-1.228,33.049,2.068127782,3.0,0.18318235300000002,3.1570004210000002,6.001666435,0.58
CH-M04.5-2012,CH-M04.5,72.0,-163.007205,100.0,CTD,2012,39.0,-0.58,27.548000000000002,-1.163800204,1.0,-1.528,33.203,3.3307320860000003,3.0,0.187630257,5.295312858,6.0382116560000005,0.41
CH-M06-2012,CH-M06,72.0,-160.41503871826,118.0,CTD,2012,39.0,0.040999999999999995,26.991,-0.562118918,1.0,-1.6540000000000001,32.972,2.841414913,3.0,0.19613370100000002,3.7208625,6.157921727000001,0.67
CH-M06.5-2012,CH-M06.5,72.0,-159.60758833333333,119.0,CTD,2012,,,,,,,,,,,,,
CH-M07.5-2012,CH-M07.5,72.0,-157.98794833333335,121.0,CTD,2012,41.0,0.069,26.968000000000004,0.624133586,1.0,-1.6980000000000002,33.24,1.9408544559999998,3.0,0.192718122,2.7080502010000003,6.431634669,1.326302701
CH-M08-2012,CH-M08,72.0,-157.181054205564,122.0,CTD,2012,89.0,2.272,28.101999999999997,0.39877612,1.0,-1.4780000000000002,33.22,2.206074193,3.0,0.149188249,2.674148649,5.866282856000001,0.934360025
CH-N01-2012,CH-N01,72.5,-168.5,108.0,CTD,2012,55.0,0.7659999999999999,28.406999999999996,-1.386294361,1.0,-1.5290000000000001,33.207,2.98517676,3.0,0.166429374,2.6878474939999997,8.077815797000001,1.099517068
CH-N01.5-2012,CH-N01.5,72.5,-167.66833666666668,107.0,CTD,2012,51.0,2.3080000000000003,28.993000000000002,-1.171182982,1.0,-0.381,33.213,2.281361457,3.0,0.166154282,1.9169226119999998,11.726799699999999,2.078607517
