,StationID,MAST_Station,MAST_Latdd,MAST_Longdd,Station,Gear,Year,Depth.bot,Temp.surf,Sal.surf,DIN.surf,Water.surf,Temp.bot,Sal.bot,DIN.bot,Water.bot,MeanStrat,IntChla,phi5,TOC,MLD
53,CH-M01.5-2012,CH-M01.5,72.0,-167.6828283333334,110.0,CTD,2012,50.0,5.141,31.034,0.596586721,5.0,-0.369,33.071,2.743473802,3.0,0.144944154,3.1863526330000003,9.717509969,1.03,15.5
54,CH-M02-2012,CH-M02,72.0,-166.88300774365206,95.0,CTD,2012,48.0,5.1720000000000015,30.309,-0.820980552,5.0,-0.723,32.986,1.678963975,3.0,0.15702369,3.086486637,9.717509969,1.03,16.0
55,CH-M03-2012,CH-M03,72.0,-165.266015487304,97.0,CTD,2012,42.0,4.87,30.322,-0.527632742,5.0,-0.269,32.946,1.954445052,3.0,0.15962269099999998,3.314186005,8.959352655,0.71,14.0
56,CH-M04-2012,CH-M04,72.0,-163.649023230956,99.0,CTD,2012,40.0,1.396,27.996,-0.153569853,1.0,-1.228,33.049,2.068127782,3.0,0.183182353,3.157000421,6.001666435,0.58,7.0
57,CH-M04.5-2012,CH-M04.5,72.0,-163.007205,100.0,CTD,2012,39.0,-0.58,27.548,-1.163800204,1.0,-1.528,33.203,3.3307320860000003,3.0,0.187630257,5.295312858,6.0382116560000005,0.41,9.5
58,CH-M06-2012,CH-M06,72.0,-160.41503871826,118.0,CTD,2012,39.0,0.041,26.991,-0.562118918,1.0,-1.654,32.972,2.841414913,3.0,0.196133701,3.7208625,6.157921727000001,0.67,12.0
59,CH-M06.5-2012,CH-M06.5,72.0,-159.60758833333333,119.0,CTD,2012,,,,,,,,,,,,,,10.0
60,CH-M07.5-2012,CH-M07.5,72.0,-157.98794833333338,121.0,CTD,2012,41.0,0.069,26.968000000000004,0.624133586,1.0,-1.6980000000000002,33.24,1.940854456,3.0,0.192718122,2.7080502010000003,6.431634669,1.326302701,10.5
61,CH-M08-2012,CH-M08,72.0,-157.181054205564,122.0,CTD,2012,89.0,2.272,28.102,0.39877612,1.0,-1.4780000000000002,33.22,2.206074193,3.0,0.149188249,2.674148649,5.8662828560000015,0.934360025,10.5
62,CH-N01-2012,CH-N01,72.5,-168.5,108.0,CTD,2012,55.0,0.7659999999999999,28.407,-1.386294361,1.0,-1.529,33.207,2.98517676,3.0,0.166429374,2.687847494,8.077815797000001,1.099517068,10.5
