Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2)
66.5,-167.65,25.744,2.923,0.91585,0.00016797,0.00022027,0.0010183,0.00032052
66.5,-167.67,25.481,9.5429,0.63706,0.00054504,0.00071472,0.0033041,0.00104
66.5,-167.69,25.244,1.4263,0.99407,8.3465e-05,0.00010945,0.00050598,0.00015926
66.5,-167.71,25.078,1.1251,0.1685,6.5338e-05,8.5679e-05,0.00039609,0.00012467
66.5,-167.73,24.822,6.5349,2.0473,0.00038194,0.00050085,0.0023154,0.00072881
66.5,-167.75,24.653,6.371,0.30896,0.00036535,0.00047909,0.0022148,0.00069714
66.5,-167.78,24.505,0.50949,4.5923,2.9827e-05,3.9112e-05,0.00018081,5.6913e-05
66.5,-167.8,24.32,2.7689,0.68783,0.00016171,0.00021205,0.0009803,0.00030856
66.5,-167.82,24.226,2.8394,0.42945,0.00016387,0.00021489,0.00099341,0.00031269
66.5,-167.84,24.096,11.808,3.9431,0.00022604,0.00029134,0.0013469,0.0020183
66.5,-167.86,24.004,6.9395,2.4566,0.00016783,0.00021749,0.0010055,0.0011272
66.5,-167.88,24.059,2.4099,0.32944,0.00013897,0.00018224,0.00084249,0.00026518
66.499,-167.9,23.92,3.7296,2.154,0.00021441,0.00028113,0.0012997,0.00041611
66.499,-167.92,23.735,2303.9,0.45484,0.001414,0.00040208,0.0018588,0.45654
66.499,-167.94,23.719,5.4369,1.2598,0.00031153,0.00040852,0.0018886,0.00059445
66.499,-167.96,23.794,4.9124,0.58265,0,0,0,0
66.499,-167.98,23.937,5.838,1.4165,0,0,0,0
66.499,-168,24.235,5.0234,0.1058,0,0,0,0
66.499,-168.02,24.613,2.5639,0.20155,0,0,0,0
66.5,-168.04,25.175,1.5217,0.038043,0,0,0,0
66.5,-168.06,25.909,1.3515,2.4141,0,0,0,0
66.5,-168.08,26.781,4.0008,0.38002,0,0,0,0
66.5,-168.1,27.692,6.3766,3.0671,0,0,0,0
66.5,-168.13,28.69,2.5682,2.1545,0,0,0,0
66.501,-168.15,29.61,1.9452,0.74259,0,0,0,0
66.501,-168.17,30.702,0.73057,0.58013,0,0,0,0
66.5,-168.19,31.897,0.90262,1.6768,0,0,0,0
66.5,-168.21,33.518,0.79121,2.0589,0,0,0,0
66.5,-168.23,35.569,3.545,2.6516,0,0,0,0
66.5,-168.25,37.697,2.99,2.1451,0,0,0,0
66.5,-168.27,39.66,0.97639,1.7237,0,0,0,0
66.5,-168.29,41.292,0.84745,1.514,0,0,0,0
66.5,-168.31,43.063,1.4948,1.7627,0,0,0,0
66.5,-168.33,44.621,1.3052,2.1208,0,0,0,0
66.5,-168.36,46.465,483.12,5.3943,0.00026123,0,0,0.10756
66.5,-168.38,48.712,0.77804,2.5248,0,0,0,0
66.501,-168.4,49.722,0.51052,3.4677,0,0,0,0
66.501,-168.42,50.434,0.75399,2.5522,0,0,0,0
66.501,-168.44,50.801,1.1361,2.3629,0,0,0,0
66.501,-168.46,51.925,1.704,4.7182,0,0,0,0
66.501,-168.48,52.163,2.0228,3.1244,0,0,0,0
66.502,-168.5,52.208,0.99019,1.2059,0,0,0,0
66.507,-168.5,52.064,0.52785,1.2402,0,0,0,0
66.509,-168.51,51.956,1.0073,1.5194,0,0,0,0
66.456,-168.64,53.107,1.015,2.4106,0,0,0,0
66.451,-168.64,53.491,0.69146,4.0973,0,0,0,0
66.966,-168.48,36.183,1.4185,2.2659,0,0,0,0
66.971,-168.48,36.661,1.4561,2.9959,0,0,0,0
66.98,-168.49,37.087,2.412,5.7239,0,0,0,0
66.988,-168.49,37.563,1.4145,3.3156,0,0,0,0
66.996,-168.49,38.204,2.4106,2.1151,0,0,0,0.00025372
67.004,-168.49,38.562,0.12085,2.1558,0,0,0,0
67.01,-168.49,38.521,0.18907,1.7557,0,0,0,0
67.009,-168.49,38.529,0.11742,2.2584,0,0,0,0
67.001,-168.49,38.314,5.8861,2.6136,0,0,0,0.0007417
66.993,-168.5,38,1.1314,2.397,0,0,0,0
66.984,-168.5,37.776,0.53683,2.5515,0,0,0,0
66.976,-168.5,37.569,2.4413,1.7161,0,0,0,0
66.968,-168.51,37.298,3.9311,1.8368,0,0,0,0
66.96,-168.51,37.003,0.76465,2.5492,0,0,0,0
66.952,-168.52,36.852,0.59167,2.5181,0,0,0,0
66.944,-168.52,36.697,1.2223,1.7276,0,0,0,0
